,ObjectID,Otro,6.1._Numero_de_documento:,Otro.3,Otro.4,Otro.6,25._¿Cuantas_personas_actualmente_componen_su_hogar?,Otro.9,Otro.15,Creator,Editor,x,y,Duracion_(minutos)
count,600.0,0.0,600.0,0.0,0.0,0.0,600.0,1.0,0.0,0.0,0.0,600.0,600.0,600.0
mean,3936.588333333333,,133100167.88666667,,,,165.37666666666667,0.0,,,,-74.12794093717406,4.662555924160777,163.02675994444442
std,2254.0202493184897,,293015149.6799819,,,,2896.1507868933427,,,,,0.08506270288436305,0.11640154122209034,1780.524350575682
min,41.0,,65712.0,,,,0.0,0.0,,,,-75.6729314229367,4.53678015237797,6.179266666666666
25%,1833.25,,19482808.0,,,,2.0,0.0,,,,-74.1730979665654,4.624884893408935,9.3481875
50%,3977.0,,41637707.0,,,,3.0,0.0,,,,-74.1533285721492,4.62815043814836,13.281866666666666
75%,6103.0,,55173599.0,,,,4.0,0.0,,,,-74.08125756730438,4.628332372586902,21.86497083333333
max,7489.0,,1582085369.0,,,,61093.0,0.0,,,,-73.9916566666667,5.02644166666667,43208.47233333333
